CustomerID,Gender,Age,LoyaltyPoints,FeedbackScore
141,Male,48,857,1
142,Male,58,571,4
143,Male,59,865,4
144,Non-Binary,64,151,1
145,Non-Binary,44,334,1
146,Male,24,445,3
147,Male,39,762,4
148,Female,41,96,5
149,Non-Binary,23,838,3
150,Female,20,885,5
151,Female,68,33,4
152,Male,33,21,4
153,Female,35,56,1
154,Male,28,293,3
155,Female,32,153,4
156,Non-Binary,63,291,1
157,Female,50,524,1
158,Male,69,141,1
159,Non-Binary,44,501,1
160,Non-Binary,41,267,1
161,Male,28,241,5
162,Male,50,532,2
163,Female,39,84,2
164,Female,67,711,1
165,Non-Binary,64,305,5
166,Male,48,25,1
167,Non-Binary,37,838,1
168,Male,20,345,2
169,Non-Binary,53,599,1
170,Female,32,295,5
171,Male,30,398,3
172,Female,23,492,1
173,Non-Binary,56,167,3
174,Female,19,421,5
175,Male,43,370,1
176,Non-Binary,35,58,2
177,Non-Binary,18,592,2
178,Female,65,190,4
179,Male,18,707,1
180,Non-Binary,22,800,4
181,Non-Binary,57,767,1
182,Female,28,556,1
183,Female,50,51,1
184,Male,70,182,2
185,Female,57,267,3
186,Non-Binary,33,952,4
187,Female,40,268,4
188,Male,41,652,2
189,Non-Binary,48,43,2
190,Non-Binary,40,257,1
191,Non-Binary,54,634,4
192,Non-Binary,27,851,1
193,Female,68,699,3
194,Non-Binary,38,207,4
195,Non-Binary,25,418,5
196,Male,30,146,1
197,Non-Binary,35,216,4
198,Male,42,25,5
199,Male,32,609,2
200,Non-Binary,23,969,3
201,Female,28,313,4
202,Female,22,607,1
203,Non-Binary,70,962,3
204,Female,42,975,2
205,Female,36,222,2
206,Female,68,298,5
207,Non-Binary,68,247,1
208,Non-Binary,51,526,4
209,Non-Binary,51,332,2
210,Female,61,368,4
211,Non-Binary,30,964,4
212,Non-Binary,55,748,1
213,Male,28,522,2
214,Female,63,381,2
215,Non-Binary,62,639,3
216,Male,69,236,2
217,Non-Binary,39,992,1
218,Male,23,204,3
219,Female,44,182,2
220,Non-Binary,46,111,1
221,Non-Binary,65,639,3
222,Male,25,668,5
223,Female,29,686,5
224,Male,64,362,2
225,Female,58,695,2
226,Female,61,576,1
227,Male,18,634,3
228,Female,61,111,2
229,Non-Binary,64,813,2
230,Female,32,745,2
231,Non-Binary,34,631,5
232,Female,66,999,3
233,Non-Binary,32,273,4
234,Female,33,123,4
235,Female,46,601,1
236,Female,37,446,3
237,Female,36,956,4
238,Non-Binary,54,249,5
239,Non-Binary,39,285,5
240,Non-Binary,54,900,1
241,Male,25,787,3
242,Female,43,241,4
243,Non-Binary,45,165,2
244,Non-Binary,21,143,1
245,Female,60,867,1
246,Female,38,116,5
247,Male,38,399,1
248,Female,57,76,4
249,Male,39,834,2
250,Non-Binary,20,303,2
251,Non-Binary,52,632,5
252,Male,26,476,3
253,Female,48,611,5
254,Male,51,897,1
255,Non-Binary,21,620,2
256,Male,37,747,2
257,Non-Binary,43,801,5
258,Non-Binary,38,135,1
259,Non-Binary,65,871,4
260,Male,47,43,1
261,Male,39,815,5
262,Female,30,663,4
263,Non-Binary,50,725,2
264,Non-Binary,43,820,1
265,Non-Binary,65,136,2
266,Female,60,651,3
267,Female,51,833,1
268,Non-Binary,60,966,2
269,Non-Binary,55,879,4
270,Non-Binary,67,659,4
271,Non-Binary,48,375,1
272,Female,58,510,5
273,Male,54,916,4
274,Non-Binary,54,5,1
275,Male,29,789,5
276,Female,43,392,4
277,Female,41,507,3
278,Non-Binary,51,541,4
279,Female,56,951,5
280,Non-Binary,24,874,2
281,Female,33,391,3
282,Non-Binary,26,0,4
283,Male,49,921,5
284,Female,48,944,5
285,Non-Binary,24,77,2
286,Female,65,353,4
287,Female,48,161,4
288,Male,28,27,5
289,Non-Binary,20,483,3
290,Female,55,722,3
291,Female,19,740,3
292,Male,19,854,5
293,Male,60,882,3
294,Non-Binary,30,322,2
295,Male,28,827,2
296,Female,69,868,1
297,Male,19,914,1
298,Male,57,309,1
299,Non-Binary,32,303,4
300,Non-Binary,50,798,5
301,Female,68,876,5
302,Female,31,250,3
303,Male,46,133,2
304,Male,61,292,5
305,Female,63,419,5
306,Female,22,130,1
307,Non-Binary,42,532,1
308,Male,31,866,3
309,Male,69,481,3
310,Non-Binary,39,214,5
311,Female,22,931,5
312,Female,22,788,1
313,Female,18,566,3
314,Female,70,303,2
315,Female,26,541,3
316,Male,62,904,2
317,Male,36,672,1
318,Male,68,912,5
319,Female,56,172,1
320,Male,48,165,5
321,Male,66,945,2
322,Male,36,587,5
323,Female,65,981,5
324,Female,24,528,5
325,Female,42,398,4
326,Male,61,965,1
327,Male,50,315,1
328,Female,68,350,1
329,Male,54,251,2
330,Female,64,418,2
331,Female,57,290,4
332,Non-Binary,64,8,2
333,Non-Binary,53,173,2
334,Non-Binary,25,447,5
335,Male,40,785,1
336,Non-Binary,61,224,1
337,Non-Binary,60,157,3
338,Female,44,998,2
339,Non-Binary,19,815,2
340,Non-Binary,18,813,1
341,Non-Binary,62,600,5
342,Female,48,451,3
343,Non-Binary,22,480,4
344,Male,61,114,2
345,Female,57,259,5
346,Male,40,106,3
347,Non-Binary,41,607,4
348,Female,24,367,1
349,Male,54,401,4
350,Male,44,912,1
351,Male,51,723,3
352,Non-Binary,63,216,5
353,Male,47,915,3
354,Female,53,901,4
355,Non-Binary,67,920,5
356,Non-Binary,62,752,3
357,Non-Binary,61,98,5
358,Non-Binary,18,934,3
359,Non-Binary,30,390,1
360,Male,35,233,3
361,Non-Binary,58,803,2
362,Non-Binary,32,719,2
363,Female,61,352,4
364,Male,58,81,1
365,Male,35,689,1
366,Female,45,82,1
367,Male,21,720,5
368,Male,69,29,2
369,Non-Binary,31,101,4
370,Male,48,825,1
371,Male,25,736,1
372,Female,56,16,4
373,Non-Binary,31,98,1
374,Male,39,568,1
375,Non-Binary,63,479,2
376,Non-Binary,49,713,3
377,Non-Binary,70,392,5
378,Non-Binary,29,749,2
379,Female,42,404,5
380,Male,51,775,5
381,Male,61,331,1
382,Female,37,787,5
383,Non-Binary,58,185,3
384,Male,68,298,1
385,Female,25,824,3
386,Female,31,221,2
387,Female,68,415,2
388,Non-Binary,47,135,3
389,Non-Binary,70,323,4
390,Non-Binary,30,891,4
391,Female,63,496,1
392,Male,54,721,1
393,Female,29,140,3
394,Non-Binary,38,249,2
395,Non-Binary,65,615,5
396,Non-Binary,61,472,2
397,Male,43,762,3
398,Male,25,186,2
399,Non-Binary,39,304,3
400,Male,55,388,1
401,Female,37,361,4
402,Female,60,234,3
403,Female,45,984,1
404,Male,48,702,1
405,Male,18,927,4
406,Non-Binary,20,56,2
407,Male,58,104,4
408,Female,49,873,4
409,Male,62,379,2
410,Female,31,258,4
411,Female,44,124,2
412,Female,60,995,1
413,Female,18,248,2
414,Male,31,838,3
415,Non-Binary,68,390,4
416,Male,43,492,2
417,Non-Binary,41,636,1
418,Non-Binary,42,123,2
419,Non-Binary,56,50,5
420,Female,46,271,1
421,Non-Binary,61,726,4
422,Female,22,276,3
423,Male,54,516,4
424,Female,34,669,4
425,Male,25,92,5
426,Male,23,275,2
427,Male,42,60,3
428,Non-Binary,58,544,4
429,Female,65,782,4
430,Male,46,497,3
431,Male,45,995,5
432,Non-Binary,22,394,3
433,Female,24,874,3
434,Male,62,962,2
435,Female,57,159,5
436,Male,67,92,5
437,Female,53,877,5
438,Non-Binary,56,810,3
439,Female,24,287,3
440,Non-Binary,61,431,5
441,Male,32,632,4
442,Non-Binary,64,757,3
443,Female,50,802,3
444,Male,50,862,5
445,Male,65,175,2
446,Non-Binary,56,868,1
447,Female,49,691,3
448,Female,46,120,1
449,Female,51,371,4
450,Female,50,574,1
451,Female,20,771,2
452,Female,29,854,1
453,Female,60,121,3
454,Non-Binary,53,943,2
455,Female,53,78,2
456,Male,56,746,3
457,Non-Binary,67,981,5
458,Female,28,802,1
459,Female,59,915,1
460,Non-Binary,19,974,1
461,Male,19,564,5
462,Male,25,55,3
463,Non-Binary,35,502,1
464,Male,21,684,3
465,Male,48,700,2
466,Female,41,344,5
467,Non-Binary,54,95,3
468,Male,54,54,5
469,Non-Binary,59,813,2
470,Female,45,259,4
471,Male,34,887,2
472,Female,55,935,2
473,Male,47,361,1
474,Male,44,888,1
475,Female,60,533,3
476,Non-Binary,68,13,2
477,Non-Binary,29,31,5
478,Female,56,609,5
479,Female,46,418,5
480,Male,41,836,3
481,Male,67,96,3
482,Male,25,927,5
483,Female,30,804,3
484,Male,61,915,2
485,Non-Binary,44,124,1
486,Male,21,211,2
487,Non-Binary,24,21,2
488,Male,47,948,4
489,Non-Binary,28,306,1
490,Non-Binary,65,276,5
491,Male,40,885,2
492,Non-Binary,43,138,3
493,Non-Binary,18,480,4
494,Female,37,35,1
495,Male,66,725,5
496,Non-Binary,70,358,5
497,Non-Binary,51,472,5
498,Male,47,572,4
499,Male,61,138,3
500,Female,45,609,5
501,Male,44,843,2
502,Female,31,203,5
503,Non-Binary,25,373,4
504,Male,53,471,4
505,Male,26,323,5
506,Female,41,654,5
507,Non-Binary,58,650,5
508,Male,25,13,3
509,Male,40,278,5
510,Female,59,459,2
511,Female,38,831,5
512,Non-Binary,69,603,4
513,Male,41,150,2
514,Male,68,133,5
515,Male,47,679,4
516,Male,60,248,2
517,Male,42,216,5
518,Non-Binary,63,753,4
519,Male,63,368,5
520,Female,18,252,5
521,Non-Binary,33,422,3
522,Female,43,87,1
523,Male,40,390,4
524,Non-Binary,19,653,5
525,Male,36,214,4
526,Male,41,58,2
527,Non-Binary,24,372,3
528,Male,19,592,4
529,Female,66,71,2
530,Female,61,173,3
531,Male,49,282,3
532,Male,62,986,5
533,Female,36,615,3
534,Male,50,409,2
535,Female,53,112,3
536,Non-Binary,62,868,1
537,Female,33,588,3
538,Male,50,509,1
539,Male,31,753,4
540,Non-Binary,50,172,1
541,Non-Binary,61,298,2
542,Non-Binary,24,570,1
543,Male,28,584,1
544,Non-Binary,39,376,1
545,Male,25,374,2
546,Non-Binary,52,218,2
547,Male,48,60,3
548,Female,43,908,4
549,Female,34,555,4
550,Non-Binary,20,450,4
551,Male,53,205,4
552,Non-Binary,60,195,5
553,Non-Binary,41,359,5
554,Male,24,193,4
555,Male,34,34,1
556,Female,47,6,4
557,Non-Binary,23,613,1
558,Male,33,243,5
559,Male,29,815,1
560,Male,23,715,4
561,Non-Binary,41,783,3
562,Male,47,261,4
563,Male,48,385,3
564,Non-Binary,41,791,5
565,Male,64,250,1
566,Female,59,224,4
567,Female,55,911,2
568,Non-Binary,50,14,1
569,Female,56,528,2
570,Non-Binary,66,518,2
571,Female,45,118,4
572,Female,28,34,4
573,Non-Binary,50,959,4
574,Female,48,663,4
575,Non-Binary,37,991,1
576,Male,62,189,4
577,Male,47,966,3
578,Male,43,778,4
579,Non-Binary,35,308,2
580,Male,70,960,1
581,Male,44,852,1
582,Female,58,590,4
583,Non-Binary,20,569,2
584,Female,21,760,2
585,Non-Binary,64,658,5
586,Male,37,172,4
587,Female,26,816,3
588,Male,31,390,2
589,Female,64,128,5
590,Female,55,861,2
591,Female,66,98,2
592,Non-Binary,45,1,3
593,Non-Binary,54,751,2
594,Non-Binary,31,191,4
595,Male,53,20,2
596,Female,30,515,2
597,Male,43,567,3
598,Non-Binary,55,915,1
599,Male,24,287,1
600,Non-Binary,34,860,2
601,Non-Binary,44,186,5
602,Female,30,5,1
603,Female,63,471,4
604,Male,23,317,2
605,Male,62,426,3
606,Non-Binary,38,18,5
607,Male,44,701,2
608,Female,23,213,4
609,Non-Binary,62,287,2
610,Non-Binary,62,646,3
611,Male,22,706,2
612,Non-Binary,29,699,3
613,Male,66,775,1
614,Non-Binary,63,160,5
615,Female,32,187,3
616,Male,63,559,4
617,Female,37,469,2
618,Female,57,793,2
619,Female,55,106,3
620,Female,45,458,5
621,Female,23,78,4
622,Female,59,210,4
623,Non-Binary,21,645,4
624,Non-Binary,35,104,5
625,Female,57,626,5
626,Female,34,580,3
627,Non-Binary,53,332,5
628,Male,62,830,4
629,Non-Binary,68,203,3
630,Non-Binary,50,200,4
631,Male,21,73,4
632,Non-Binary,50,365,2
633,Male,64,421,1
634,Male,33,117,5
635,Non-Binary,32,978,3
636,Non-Binary,40,830,1
637,Female,60,248,5
638,Female,62,644,5
639,Male,60,989,5
640,Female,61,820,3
641,Male,43,826,4
642,Female,49,116,2
643,Female,44,196,4
644,Male,65,738,5
645,Male,60,838,1
646,Non-Binary,19,859,2
647,Male,41,392,5
648,Female,18,675,5
649,Female,60,1,5
650,Male,59,767,4
651,Female,48,891,4
652,Female,51,72,3
653,Female,31,673,1
654,Male,55,471,2
655,Male,33,814,1
656,Male,21,103,2
657,Non-Binary,53,294,5
658,Female,34,832,5
659,Non-Binary,67,545,5
660,Male,67,712,3
661,Male,62,655,3
662,Non-Binary,21,541,1
663,Female,40,231,1
664,Non-Binary,23,805,5
665,Non-Binary,40,400,2
666,Male,53,139,5
667,Non-Binary,49,839,4
668,Female,41,447,2
669,Non-Binary,24,859,3
670,Non-Binary,31,874,1
671,Non-Binary,20,394,1
672,Male,44,241,3
673,Male,48,809,3
674,Female,61,972,2
675,Non-Binary,18,527,4
676,Female,21,453,2
677,Male,68,760,3
678,Non-Binary,31,378,4
679,Non-Binary,55,743,3
680,Female,70,659,2
681,Female,24,207,1
682,Male,69,57,3
683,Female,45,385,4
684,Female,44,33,4
685,Non-Binary,34,372,5
686,Non-Binary,58,748,3
687,Male,54,478,2
688,Non-Binary,63,958,1
689,Non-Binary,23,127,4
690,Female,28,391,1
691,Non-Binary,30,377,2
692,Male,47,845,1
693,Non-Binary,63,630,1
694,Female,62,769,4
695,Male,50,109,1
696,Non-Binary,27,573,2
697,Female,21,831,1
698,Female,39,971,3
699,Non-Binary,30,617,4
700,Female,24,28,2
701,Non-Binary,35,726,3
702,Female,22,950,3
703,Female,22,132,1
704,Female,66,635,1
705,Male,49,923,4
706,Female,26,955,1
707,Non-Binary,21,423,3
708,Male,20,708,3
709,Male,31,43,3
710,Female,32,494,4
711,Non-Binary,33,465,5
712,Female,66,87,4
713,Non-Binary,41,179,1
714,Male,18,423,4
715,Female,18,245,5
716,Male,30,939,1
717,Female,46,640,5
718,Male,67,48,2
719,Female,48,782,4
720,Non-Binary,41,175,4
721,Non-Binary,48,950,3
722,Non-Binary,40,529,1
723,Non-Binary,30,691,2
724,Male,34,76,2
725,Non-Binary,37,956,5
726,Non-Binary,38,667,5
727,Non-Binary,39,189,1
728,Male,26,399,1
729,Non-Binary,58,280,5
730,Female,30,873,5
731,Male,36,696,3
732,Female,28,410,3
733,Non-Binary,35,998,5
734,Non-Binary,69,724,1
735,Female,64,391,2
736,Non-Binary,26,217,5
737,Female,25,338,5
738,Female,38,274,4
739,Female,50,521,3
740,Male,47,758,2
741,Male,37,234,3
742,Non-Binary,21,364,1
743,Non-Binary,33,387,4
744,Male,57,417,1
745,Female,49,991,4
746,Female,18,93,3
747,Male,19,575,4
748,Male,53,547,5
749,Male,49,930,5
750,Non-Binary,61,396,3
751,Male,65,541,3
752,Female,49,887,3
753,Non-Binary,53,500,5
754,Male,19,132,3
755,Non-Binary,66,823,3
756,Non-Binary,63,714,3
757,Male,57,769,4
758,Female,46,454,3
759,Female,26,171,3
760,Female,60,262,2
761,Male,33,817,2
762,Male,41,51,1
763,Female,64,763,4
764,Non-Binary,53,990,4
765,Female,40,108,5
766,Female,19,188,5
767,Non-Binary,33,13,4
768,Male,23,935,2
769,Female,48,744,3
770,Male,56,952,5
771,Male,39,57,3
772,Non-Binary,27,573,1
773,Male,61,204,5
774,Female,41,373,5
775,Male,31,78,2
776,Male,54,115,2
777,Non-Binary,45,800,3
778,Female,58,248,3
779,Female,55,897,3
780,Female,65,711,1
781,Female,64,535,1
782,Female,30,993,5
783,Female,54,384,1
784,Non-Binary,48,997,5
785,Male,67,357,5
786,Non-Binary,24,59,1
787,Non-Binary,26,156,5
788,Male,59,460,1
789,Non-Binary,45,416,4
790,Non-Binary,60,982,1
791,Male,41,1000,4
792,Non-Binary,25,465,4
793,Male,67,880,5
794,Male,29,61,4
795,Female,47,163,2
796,Non-Binary,41,355,4
797,Male,36,544,1
798,Non-Binary,52,664,5
799,Non-Binary,18,223,4
800,Female,39,443,4
801,Female,32,7,3
802,Male,66,243,3
803,Male,39,753,5
804,Female,35,59,4
805,Female,26,703,3
806,Non-Binary,70,652,4
807,Female,58,660,2
808,Male,63,96,5
809,Non-Binary,62,74,2
810,Non-Binary,68,42,4
811,Male,39,621,1
812,Female,33,951,5
813,Non-Binary,29,809,2
814,Non-Binary,55,841,1
815,Male,40,784,2
816,Female,64,644,5
817,Non-Binary,24,282,5
818,Non-Binary,32,643,2
819,Female,52,78,3
820,Non-Binary,50,153,4
821,Non-Binary,22,954,3
822,Non-Binary,65,766,4
823,Non-Binary,57,942,1
824,Female,36,157,1
825,Male,25,877,1
826,Non-Binary,31,129,1
827,Male,35,953,5
828,Female,22,964,4
829,Female,26,103,3
830,Male,49,913,4
831,Non-Binary,62,7,4
832,Male,30,207,3
833,Non-Binary,69,390,2
834,Non-Binary,34,813,4
835,Non-Binary,23,335,5
836,Female,54,995,4
837,Female,25,988,1
838,Male,70,860,1
839,Non-Binary,26,740,5
840,Non-Binary,46,525,3
841,Male,58,571,5
842,Male,18,875,3
843,Female,58,333,4
844,Male,60,229,4
845,Male,37,733,2
846,Male,45,649,3
847,Non-Binary,34,115,2
848,Non-Binary,62,171,3
849,Female,47,134,1
850,Male,35,834,1
851,Male,19,989,3
852,Female,25,39,5
853,Non-Binary,45,565,2
854,Non-Binary,38,311,5
855,Male,18,879,4
856,Female,43,539,2
857,Non-Binary,60,272,2
858,Female,37,405,1
859,Female,66,614,5
860,Female,54,810,3
861,Male,61,17,2
862,Non-Binary,57,583,2
863,Non-Binary,69,22,3
864,Non-Binary,34,309,4
865,Non-Binary,26,873,1
866,Non-Binary,32,969,4
867,Male,52,728,3
868,Non-Binary,24,107,4
869,Non-Binary,70,523,3
870,Non-Binary,45,365,3
871,Non-Binary,40,310,5
872,Non-Binary,60,851,1
873,Male,18,645,3
874,Male,37,552,4
875,Non-Binary,18,85,3
876,Male,58,105,5
877,Male,63,147,4
878,Female,69,688,2
879,Male,22,116,3
880,Male,61,250,3
881,Non-Binary,33,600,3
882,Male,65,118,5
883,Non-Binary,53,266,1
884,Non-Binary,27,907,3
885,Non-Binary,18,230,1
886,Non-Binary,21,900,1
887,Non-Binary,45,721,5
888,Non-Binary,50,219,2
889,Male,55,282,5
890,Male,39,794,2
891,Non-Binary,64,304,3
892,Non-Binary,49,528,3
893,Female,20,283,5
894,Male,18,755,2
895,Female,32,248,5
896,Non-Binary,49,393,5
897,Female,39,118,4
898,Female,46,93,1
899,Male,38,60,5
900,Male,61,963,2
901,Male,18,709,2
902,Male,38,486,2
903,Female,57,446,3
904,Female,67,293,2
905,Female,52,996,3
906,Non-Binary,64,797,1
907,Female,58,198,2
908,Male,29,816,2
909,Non-Binary,51,816,5
910,Male,46,757,5
911,Non-Binary,18,983,1
912,Male,23,481,5
913,Non-Binary,43,184,3
914,Male,45,298,5
915,Female,66,210,1
916,Male,48,900,5
917,Male,25,725,2
918,Non-Binary,60,309,3
919,Non-Binary,22,318,1
920,Non-Binary,23,752,3
921,Female,28,509,4
922,Non-Binary,35,272,3
923,Male,35,924,3
924,Female,56,746,3
925,Non-Binary,49,433,1
926,Male,62,553,4
927,Female,48,432,1
928,Female,57,547,4
929,Female,58,816,1
930,Female,59,638,3
931,Male,56,105,1
932,Female,48,354,4
933,Male,26,416,1
934,Male,61,697,4
935,Female,41,453,1
936,Male,63,86,1
937,Male,42,302,2
938,Female,34,861,2
939,Non-Binary,35,621,5
940,Non-Binary,43,100,1
941,Male,20,670,2
942,Male,54,204,4
943,Non-Binary,52,831,2
944,Male,42,168,1
945,Non-Binary,61,155,4
946,Male,67,466,3
947,Non-Binary,22,16,3
948,Non-Binary,32,223,5
949,Female,48,473,1
950,Male,67,957,5
951,Female,53,315,1
952,Male,64,640,2
953,Male,61,562,5
954,Non-Binary,20,441,1
955,Male,43,934,4
956,Male,25,410,4
957,Male,41,711,3
958,Male,55,324,2
959,Non-Binary,47,395,5
960,Female,67,571,5
961,Female,34,352,4
962,Non-Binary,28,78,3
963,Male,62,243,3
964,Non-Binary,34,757,2
965,Non-Binary,30,435,3
966,Male,56,372,4
967,Male,26,96,3
968,Non-Binary,55,390,2
969,Non-Binary,48,197,2
970,Male,52,143,3
971,Female,35,907,2
972,Male,28,920,3
973,Male,52,513,5
974,Non-Binary,66,256,5
975,Non-Binary,61,981,3
976,Non-Binary,24,364,2
977,Non-Binary,32,558,2
978,Male,68,908,1
979,Male,68,953,5
980,Male,40,726,5
981,Non-Binary,55,205,2
982,Female,38,795,1
983,Female,32,457,4
984,Male,62,971,1
985,Female,60,920,2
986,Female,51,415,5
987,Male,64,25,5
988,Male,26,479,2
989,Non-Binary,44,911,5
990,Non-Binary,30,744,4
991,Non-Binary,28,45,2
992,Non-Binary,69,480,2
993,Non-Binary,35,342,2
994,Female,38,465,4
995,Female,37,921,2
996,Non-Binary,49,289,2
997,Male,65,13,1
998,Non-Binary,24,32,3
999,Male,51,586,5
1000,Non-Binary,40,795,1
1001,Female,26,85,4
1002,Female,54,670,4
1003,Female,63,864,4
1004,Female,50,613,1
1005,Non-Binary,39,848,5
1006,Male,30,840,4
1007,Non-Binary,27,672,5
1008,Female,61,151,5
1009,Non-Binary,38,423,3
1010,Non-Binary,64,642,5
1011,Female,30,545,5
1012,Non-Binary,21,435,4
1013,Non-Binary,41,104,5
1014,Non-Binary,70,444,5
1015,Male,59,647,4
1016,Male,47,390,3
1017,Male,22,16,2
1018,Male,28,659,2
1019,Female,61,165,5
1020,Non-Binary,57,958,3
1021,Female,42,52,4
1022,Non-Binary,51,958,5
1023,Non-Binary,61,95,2
1024,Male,24,307,1
1025,Non-Binary,61,893,4
1026,Non-Binary,24,908,3
1027,Non-Binary,27,147,3
1028,Male,48,31,3
1029,Non-Binary,68,98,4
1030,Non-Binary,42,805,4
1031,Male,53,497,4
1032,Female,45,278,2
1033,Female,27,662,3
1034,Female,51,983,2
1035,Female,54,530,3
1036,Male,68,55,3
1037,Non-Binary,21,38,3
1038,Non-Binary,51,416,5
1039,Female,68,223,4
1040,Female,64,534,1
1041,Female,33,408,1
1042,Non-Binary,21,125,4
1043,Male,21,182,4
1044,Female,55,37,5
1045,Non-Binary,51,53,4
1046,Non-Binary,59,594,1
1047,Female,65,801,4
1048,Female,25,421,3
1049,Male,56,336,4
1050,Female,49,59,4
1051,Female,67,908,1
1052,Non-Binary,26,445,5
1053,Non-Binary,42,650,5
1054,Non-Binary,18,443,2
1055,Male,25,304,2
1056,Non-Binary,56,406,1
1057,Female,53,944,3
1058,Non-Binary,35,486,5
1059,Male,35,242,5
1060,Non-Binary,50,108,3
1061,Non-Binary,47,682,1
1062,Female,29,333,2
1063,Non-Binary,43,982,1
1064,Female,50,152,5
1065,Female,47,712,1
1066,Female,24,177,2
1067,Non-Binary,44,552,3
1068,Male,24,596,3
1069,Male,44,957,5
1070,Female,36,113,1
1071,Non-Binary,39,805,1
1072,Male,33,771,3
1073,Non-Binary,56,114,4
1074,Non-Binary,62,238,3
1075,Non-Binary,44,443,1
1076,Male,43,596,5
1077,Non-Binary,19,207,4
1078,Non-Binary,21,808,5
1079,Non-Binary,25,772,2
1080,Non-Binary,38,497,4
1081,Non-Binary,69,520,2
1082,Male,57,333,2
1083,Non-Binary,30,161,4
1084,Non-Binary,24,39,1
1085,Male,43,894,1
1086,Male,25,886,2
1087,Non-Binary,30,922,3
1088,Male,47,967,1
1089,Male,32,740,4
1090,Male,63,942,4
1091,Female,56,523,1
1092,Non-Binary,29,737,4
1093,Male,68,898,4
1094,Non-Binary,38,287,5
1095,Non-Binary,42,411,2
1096,Non-Binary,52,742,2
1097,Male,46,506,4
1098,Male,39,505,5
1099,Male,39,480,1
1100,Male,23,676,1
1101,Non-Binary,28,952,3
1102,Female,52,367,2
1103,Non-Binary,60,45,5
1104,Male,66,731,3
1105,Non-Binary,57,710,3
1106,Male,33,2,5
1107,Female,60,774,5
1108,Non-Binary,41,103,2
1109,Female,64,719,2
1110,Non-Binary,66,199,1
